voltage,timestamp,cb_settings,cb_pusm,ngood,maxgood,mingood,maxgood_index,mingood_index,third,third_index,used,used_index,used_phases,time,TID
float64,object,object,object,int64,int64,int64,int64,int64,int64,int64,int64,int64,object,datetime64[ns],float64
1.08,29Sep_122149,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 7],15,59,13,27,13,26,18,0,0,['6' '5' '6' '6' '6' '7' '6' '7' '6' '7' '6' '7'],2022-09-29 12:22:05,0.0
1.32,29Sep_122149,[11 12 13 14 15 24 25 26 27 28 29 30 31 56 57],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,57,11,25,11,24,16,0,0,['6' '5' '6' '6' '6' '7' '6' '7' '6' '7' '6' '7'],2022-09-29 12:25:01,0.0
1.2,29Sep_122149,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,58,12,26,12,25,17,27,19,['6' '5' '6' '6' '6' '7' '6' '7' '6' '7' '6' '7'],2022-09-29 12:27:47,0.0
1.08,29Sep_125305,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,59,13,27,13,26,18,0,0,['6' '5' '6' '6' '6' '7' '6' '7' '6' '6' '6' '6'],2022-09-29 12:53:22,0.0
1.32,29Sep_125305,[11 12 13 14 15 24 25 26 27 28 29 30 31 56 57],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,57,11,25,11,24,16,0,0,['6' '5' '6' '6' '6' '7' '6' '7' '6' '6' '6' '6'],2022-09-29 12:56:07,0.0
1.2,29Sep_125305,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,58,12,26,12,25,17,27,19,['6' '5' '6' '6' '6' '7' '6' '7' '6' '6' '6' '6'],2022-09-29 12:58:52,0.0
1.2,29Sep_130314,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,58,12,26,12,25,17,27,19,['5' '11' '5' '5' '5' '6' '5' '6' '5' '6' '5' '5'],2022-09-29 13:03:30,0.0
1.2,29Sep_131015,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,58,12,26,12,25,17,29,21,['5' '11' '5' '5' '5' '6' '5' '6' '5' '6' '5' '5'],2022-09-29 13:10:31,0.0
1.2,29Sep_131934,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['5' '11' '5' '5' '5' '6' '5' '6' '5' '6' '5' '5'],2022-09-29 13:19:51,0.0
1.2,29Sep_132925,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['6' '5' '7' '6' '6' '7' '7' '7' '6' '7' '6' '7'],2022-09-29 13:29:42,0.0
1.32,29Sep_134334,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,58,12,26,12,25,17,0,0,['6' '5' '7' '6' '6' '7' '7' '7' '6' '7' '6' '7'],2022-09-29 13:43:50,0.0
1.08,29Sep_134334,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,60,14,28,14,27,19,30,22,['6' '5' '7' '6' '6' '7' '7' '7' '6' '7' '6' '7'],2022-09-29 13:46:36,0.0
1.32,30Sep_072744,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,58,12,26,12,25,17,0,0,['4' '11' '5' '5' '5' '6' '5' '6' '4' '5' '5' '5'],2022-09-30 07:28:00,0.0
1.08,30Sep_072744,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,60,14,28,14,27,19,0,0,['4' '11' '5' '5' '5' '6' '5' '6' '4' '5' '5' '5'],2022-09-30 07:30:46,0.0
1.2,30Sep_072744,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,25,17,['4' '11' '5' '5' '5' '6' '5' '6' '4' '5' '5' '5'],2022-09-30 07:33:33,0.0
1.32,30Sep_081335,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,58,12,26,12,25,17,0,0,['2' '9' '2' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 08:13:51,0.0
1.08,30Sep_081335,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,60,14,28,14,27,19,27,19,['2' '9' '2' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 08:16:37,0.0
1.2,30Sep_081335,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 7],16,59,12,27,12,25,17,25,17,['2' '9' '2' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 08:30:29,1.5462916666666666
1.32,30Sep_083013,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,58,12,26,12,25,17,0,0,['4' '10' '4' '4' '12' '5' '5' '5' '12' '5' '5' '5'],2022-09-30 08:45:35,3.7735416666666666
1.08,30Sep_083013,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,60,14,28,14,27,19,27,19,['4' '10' '4' '4' '12' '5' '5' '5' '12' '5' '5' '5'],2022-09-30 08:48:21,4.1816249999999995
1.2,30Sep_083013,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,59,13,27,13,26,18,26,18,['4' '10' '4' '4' '12' '5' '5' '5' '12' '5' '5' '5'],2022-09-30 09:02:12,6.2245
1.32,30Sep_084518,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['2' '8' '2' '2' '10' '3' '2' '3' '2' '2' '2' '2'],2022-09-30 09:17:24,8.4665
1.08,30Sep_084518,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,60,14,28,14,27,19,27,19,['2' '8' '2' '2' '10' '3' '2' '3' '2' '2' '2' '2'],2022-09-30 09:20:21,8.901625
1.2,30Sep_084518,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,59,13,27,13,26,18,26,18,['2' '8' '2' '2' '10' '3' '2' '3' '2' '2' '2' '2'],2022-09-30 09:34:12,10.9445
1.32,30Sep_090156,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['4' '10' '5' '4' '12' '5' '5' '5' '4' '5' '5' '5'],2022-09-30 09:49:25,13.188958333333334
1.08,30Sep_090156,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,['4' '10' '5' '4' '12' '5' '5' '5' '4' '5' '5' '5'],2022-09-30 09:52:22,13.624083333333333
1.2,30Sep_090156,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,60,13,28,13,26,18,26,18,['4' '10' '5' '4' '12' '5' '5' '5' '4' '5' '5' '5'],2022-09-30 10:06:24,15.694
1.32,30Sep_091708,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['2' '8' '2' '2' '10' '3' '2' '3' '2' '2' '2' '2'],2022-09-30 10:20:52,17.827833333333334
1.08,30Sep_091708,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,['2' '8' '2' '2' '10' '3' '2' '3' '2' '2' '2' '2'],2022-09-30 10:23:49,18.262958333333334
1.2,30Sep_091708,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,60,13,28,13,26,18,26,18,['2' '8' '2' '2' '10' '3' '2' '3' '2' '2' '2' '2'],2022-09-30 10:37:51,20.332874999999998
1.32,30Sep_093356,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 7],16,59,12,27,12,25,17,0,0,['4' '10' '5' '4' '12' '5' '5' '5' '4' '5' '5' '5'],2022-09-30 10:52:10,22.44458333333333
1.08,30Sep_093356,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,['4' '10' '5' '4' '12' '5' '5' '5' '4' '5' '5' '5'],2022-09-30 10:55:16,22.901833333333332
1.2,30Sep_093356,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,60,13,28,13,26,18,26,18,['4' '10' '5' '4' '12' '5' '5' '5' '4' '5' '5' '5'],2022-09-30 11:09:18,24.97175
1.32,30Sep_094909,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['2' '8' '2' '2' '10' '3' '2' '3' '2' '3' '2' '2'],2022-09-30 11:24:12,27.169499999999996
1.08,30Sep_094909,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,61,15,29,15,28,20,27,19,['2' '8' '2' '2' '10' '3' '2' '3' '2' '3' '2' '2'],2022-09-30 11:27:09,27.604625
1.2,30Sep_094909,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,60,13,28,13,26,18,26,18,['2' '8' '2' '2' '10' '3' '2' '3' '2' '3' '2' '2'],2022-09-30 11:41:10,29.672083333333333
1.32,30Sep_100608,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['4' '11' '5' '4' '12' '5' '5' '5' '12' '5' '5' '5'],2022-09-30 11:56:14,31.894416666666665
